"Date","Price","Open","High","Low","Vol.","Change %"
"09/19/2019","10,500.0","10,522.9","10,545.8","10,385.7","7.18M","-0.22%"
"02/25/2022","34,738.2","34,889.6","35,078.8","34,738.2","16.61M","-0.22%"
"06/10/2019","10,477.2","10,637.3","10,705.9","10,454.3","13.83M","-0.22%"
"08/31/2022","23,000.0","23,000.0","23,150.0","22,750.0","14.98M","-0.22%"
"02/19/2020","10,637.3","10,660.2","10,728.8","10,568.7","11.54M","-0.21%"
"12/25/2019","10,591.6","10,614.4","10,705.9","10,591.6","5.01M","-0.21%"
"03/23/2022","35,419.4","35,722.1","35,911.3","35,419.4","22.48M","-0.21%"
"12/09/2021","35,646.4","35,495.0","35,797.8","35,419.4","13.42M","-0.21%"
"08/27/2021","36,024.8","35,949.1","36,214.0","35,381.5","31.84M","-0.21%"
"12/16/2019","10,866.1","10,888.9","10,934.7","10,774.6","10.78M","-0.21%"
"08/06/2020","13,408.3","13,436.1","13,603.4","13,268.9","24.12M","-0.21%"
"08/11/2020","13,519.8","13,603.4","13,687.0","13,436.1","16.98M","-0.21%"
"09/01/2021","37,235.7","37,084.4","37,500.6","37,008.7","19.59M","-0.20%"
"04/08/2021","27,513.4","27,597.0","27,652.8","27,318.3","21.01M","-0.20%"
"09/04/2020","13,910.0","13,742.8","13,993.7","13,742.8","33.03M","-0.20%"
"09/29/2020","14,690.5","14,746.3","14,941.4","14,690.5","32.39M","-0.19%"
"05/03/2018","13,650.1","13,650.1","13,700.4","13,423.9","20.41M","-0.18%"
"06/22/2020","12,490.3","12,536.0","12,719.0","12,330.1","20.49M","-0.18%"
"07/17/2020","13,062.2","13,130.8","13,153.7","13,062.2","14.24M","-0.17%"
"01/14/2019","10,311.8","10,347.0","10,364.6","10,153.4","8.83M","-0.17%"
"01/22/2019","10,382.2","10,452.5","10,505.3","10,364.6","4.56M","-0.17%"
"01/29/2019","10,452.5","10,505.3","10,505.3","10,382.2","4.97M","-0.17%"
"10/30/2020","17,032.1","17,171.5","17,227.2","16,669.7","33.41M","-0.16%"
"05/14/2021","34,231.5","34,566.0","34,844.8","34,008.5","55.84M","-0.16%"
"11/04/2020","17,087.9","17,115.7","17,283.0","16,920.6","32.10M","-0.16%"
"03/18/2019","11,209.2","11,086.0","11,402.8","10,751.7","28.96M","-0.16%"
"03/22/2019","11,244.4","11,297.2","11,332.4","11,209.2","11.48M","-0.16%"
"05/17/2019","11,350.0","11,367.6","11,402.8","11,332.4","4.08M","-0.15%"
"05/10/2019","11,561.1","11,649.1","11,684.3","11,473.2","5.23M","-0.15%"
"03/06/2019","12,317.8","12,317.8","12,388.2","12,106.6","9.24M","-0.14%"
"11/12/2018","13,215.2","13,232.8","13,285.6","13,074.5","7.68M","-0.13%"
"12/21/2020","21,492.2","21,743.1","21,771.0","21,380.7","27.71M","-0.13%"
"10/29/2018","13,672.8","13,602.4","13,690.4","13,584.8","12.21M","-0.13%"
"09/17/2018","13,883.9","13,831.1","13,954.3","13,778.3","6.50M","-0.13%"
"12/24/2020","22,272.8","22,635.2","22,746.7","21,520.1","32.48M","-0.12%"
"09/25/2018","14,517.4","14,429.4","14,570.2","14,376.6","12.25M","-0.12%"
"01/08/2021","23,833.8","23,917.4","24,140.4","23,750.2","35.06M","-0.12%"
"02/22/2021","24,196.2","24,224.1","24,753.7","23,973.2","37.49M","-0.12%"
"03/29/2022","34,700.4","34,965.3","35,003.1","34,662.5","16.88M","-0.11%"
"08/02/2021","35,759.9","35,646.4","36,251.9","35,495.0","31.47M","-0.11%"
"04/10/2018","15,284.1","15,284.1","15,359.6","15,108.2","17.83M","0.00%"
"05/09/2018","14,328.9","14,278.6","14,454.6","14,102.6","7.73M","0.00%"
"07/02/2018","13,514.4","13,373.6","13,549.6","13,021.7","17.04M","0.00%"
"07/19/2018","13,092.1","13,180.1","13,285.6","13,056.9","9.62M","0.00%"
"08/07/2018","12,722.5","12,722.5","12,722.5","12,599.4","13.32M","0.00%"
"08/16/2018","13,197.6","13,021.7","13,268.0","13,004.1","19.15M","0.00%"
"09/18/2018","13,883.9","13,795.9","13,883.9","13,655.2","19.94M","0.00%"
"09/24/2018","14,535.0","14,675.8","14,675.8","14,464.6","12.13M","0.00%"
"10/03/2018","14,535.0","14,429.4","14,640.6","14,429.4","13.67M","0.00%"
"10/18/2018","14,429.4","14,429.4","14,482.2","14,323.8","11.18M","0.00%"
"11/05/2018","14,077.5","13,936.7","14,077.5","13,901.5","6.12M","0.00%"
"11/21/2018","12,845.7","12,687.3","12,951.3","12,669.7","10.42M","0.00%"
"11/27/2018","12,529.0","12,599.4","12,740.1","12,529.0","5.19M","0.00%"
"12/21/2018","10,540.5","10,311.8","10,558.1","10,311.8","12.21M","0.00%"
"12/28/2018","10,892.5","10,839.7","10,892.5","10,734.1","20.46M","0.00%"
"01/15/2019","10,311.8","10,311.8","10,417.3","10,259.0","7.23M","0.00%"
"04/03/2019","11,297.2","11,262.0","11,314.8","11,226.8","10.34M","0.00%"
"04/11/2019","11,244.4","11,262.0","11,279.6","11,209.2","4.15M","0.00%"
"05/15/2019","11,402.8","11,402.8","11,508.4","11,367.6","6.95M","0.00%"
"07/05/2019","10,202.7","10,202.7","10,271.3","10,134.0","6.46M","0.00%"
"07/10/2019","9,768.0","9,790.9","9,951.0","9,745.1","7.89M","0.00%"
"08/14/2019","10,728.8","10,888.9","10,888.9","10,705.9","8.15M","0.00%"
"08/19/2019","10,545.8","10,522.9","10,660.2","10,500.0","5.35M","0.00%"
"10/09/2019","10,019.7","10,019.7","10,019.7","9,928.1","6.49M","0.00%"
"10/11/2019","9,836.6","9,882.4","9,928.1","9,790.9","8.74M","0.00%"
"10/18/2019","9,790.9","9,859.5","9,859.5","9,745.1","4.82M","0.00%"
"10/29/2019","10,156.9","10,156.9","10,271.3","10,111.2","11.25M","0.00%"
"11/08/2019","10,385.7","10,385.7","10,431.4","10,294.2","11.12M","0.00%"
"11/14/2019","10,362.8","10,362.8","10,454.3","10,294.2","11.64M","0.00%"
"11/15/2019","10,362.8","10,362.8","10,431.4","10,317.0","7.23M","0.00%"
"11/28/2019","10,339.9","10,339.9","10,385.7","10,271.3","7.91M","0.00%"
"12/04/2019","10,728.8","10,705.9","10,797.4","10,683.1","10.35M","0.00%"
"12/11/2019","11,163.4","11,117.7","11,163.4","10,934.7","11.38M","0.00%"
"02/10/2020","11,140.6","10,980.4","11,277.8","10,957.6","10.10M","0.00%"
"02/14/2020","10,843.2","10,797.4","10,866.1","10,683.1","10.64M","0.00%"
"03/03/2020","10,202.7","10,431.4","10,431.4","10,202.7","9.29M","0.00%"
"03/05/2020","10,225.5","10,339.9","10,362.8","10,225.5","5.46M","0.00%"
"05/28/2020","12,444.5","12,581.8","12,627.5","12,307.2","30.51M","0.00%"
"06/24/2020","12,353.0","12,353.0","12,513.1","12,261.5","13.72M","0.00%"
"07/22/2020","12,856.3","12,947.8","12,993.5","12,787.6","15.71M","0.00%"
"08/28/2020","13,547.6","13,659.1","13,659.1","13,519.8","20.36M","0.00%"
"09/16/2020","13,770.6","13,798.5","13,826.4","13,714.9","12.09M","0.00%"
"09/21/2020","14,328.2","14,439.7","14,467.5","14,272.4","20.41M","0.00%"
"11/11/2020","17,450.3","17,450.3","17,617.5","17,366.6","25.56M","0.00%"
"11/24/2020","20,906.9","21,046.2","21,464.4","20,237.8","85.88M","0.00%"
"01/07/2021","23,861.7","24,056.8","24,084.7","23,555.1","38.23M","0.00%"
"08/03/2021","35,759.9","35,797.8","36,062.7","35,381.5","36.79M","0.00%"
"08/18/2021","38,143.9","38,219.6","38,522.3","37,765.5","26.21M","0.00%"
"09/27/2021","38,446.7","38,900.8","39,354.9","38,446.7","37.01M","0.00%"
"10/14/2021","42,987.6","42,987.6","43,441.7","42,911.9","25.06M","0.00%"
"12/29/2021","34,662.5","34,662.5","35,041.0","34,435.5","19.65M","0.00%"
"02/16/2022","34,813.9","34,889.6","35,192.3","34,511.2","12.16M","0.00%"
"03/02/2022","35,495.0","35,570.7","35,835.6","35,268.0","25.86M","0.00%"
"03/25/2022","35,116.6","35,230.2","35,532.9","34,965.3","17.48M","0.00%"
"05/18/2022","28,910.7","29,062.0","29,289.1","28,645.8","20.90M","0.00%"
"05/30/2022","26,829.4","26,867.3","27,132.1","26,715.9","19.57M","0.00%"
"06/24/2022","21,800.0","21,850.0","22,500.0","21,700.0","12.83M","0.00%"
"07/13/2022","22,300.0","22,200.0","22,800.0","22,150.0","17.86M","0.00%"
"09/12/2022","23,800.0","23,900.0","24,300.0","23,800.0","26.17M","0.00%"
"09/14/2022","23,700.0","23,250.0","23,800.0","23,250.0","27.03M","0.00%"
"09/27/2022","22,400.0","22,450.0","22,500.0","22,100.0","9.01M","0.00%"
"12/22/2022","18,900.0","19,100.0","19,600.0","18,700.0","18.97M","0.00%"
"12/30/2022","18,000.0","18,100.0","18,450.0","17,900.0","14.45M","0.00%"
"03/09/2023","21,200.0","21,200.0","21,550.0","21,200.0","23.27M","0.00%"
"03/24/2023","20,400.0","20,450.0","20,500.0","20,300.0","13.69M","0.00%"
"04/07/2021","27,569.2","27,541.3","27,652.8","27,262.5","25.29M","0.10%"
"12/01/2021","37,084.4","37,462.8","37,462.8","37,008.7","17.97M","0.10%"
"03/22/2022","35,495.0","35,495.0","35,532.9","35,041.0","29.86M","0.11%"
"01/05/2022","35,419.4","35,495.0","35,835.6","35,419.4","24.39M","0.11%"
"12/13/2021","35,230.2","35,230.2","35,684.3","35,041.0","18.60M","0.11%"
"03/15/2021","25,924.5","25,980.2","26,147.5","25,868.7","20.89M","0.11%"
"03/12/2021","25,896.6","25,980.2","25,980.2","25,757.2","21.33M","0.11%"
"03/16/2022","34,965.3","35,495.0","35,684.3","34,965.3","14.84M","0.11%"
"01/15/2021","24,809.5","24,698.0","25,116.1","24,698.0","25.95M","0.11%"
"01/25/2021","24,363.5","24,112.6","25,339.1","24,028.9","58.08M","0.11%"
"01/05/2021","23,610.8","23,304.2","23,861.7","23,248.4","32.70M","0.12%"
"01/28/2022","31,938.0","31,975.8","32,392.1","31,559.6","19.42M","0.12%"
"05/05/2022","31,824.5","32,240.7","32,240.7","31,408.2","17.96M","0.12%"
"12/29/2020","23,192.7","22,997.5","23,332.0","22,886.0","23.59M","0.12%"
"10/05/2018","14,587.8","14,570.2","14,746.2","14,499.8","16.56M","0.12%"
